movie_title,genre
All About the Benjamins,Crime
All About the Benjamins,Thriller
All Good Things,Crime
All Good Things,Drama
All Good Things,Mystery
All Good Things,Romance
All Good Things,Thriller
All Hat,Western
All Is Bright,Comedy
All Is Bright,Drama
All Is Lost,Action
All Is Lost,Adventure
All Is Lost,Drama
All Superheroes Must Die,Sci-Fi
All Superheroes Must Die,Thriller
All That Jazz,Comedy
All That Jazz,Drama
All That Jazz,Music
All That Jazz,Musical
All or Nothing,Drama
All the Boys Love Mandy Lane,Horror
All the King's Men,Drama
All the King's Men,Thriller
All the Pretty Horses,Drama
All the Pretty Horses,Romance
All the Pretty Horses,Western
All the Queen's Men,Action
All the Queen's Men,Comedy
All the Queen's Men,Drama
All the Queen's Men,War
All the Real Girls,Drama
All the Real Girls,Romance
Allegiant,Action
Allegiant,Adventure
Allegiant,Mystery
Allegiant,Sci-Fi
Allegiant,Thriller
Alleluia! The Devil's Carnival,Horror
Alleluia! The Devil's Carnival,Musical
Almost Famous,Adventure
Almost Famous,Comedy
Almost Famous,Drama
Almost Famous,Music
Aloft,Drama
Aloha,Comedy
Aloha,Drama
Aloha,Romance
Alone in the Dark,Horror
Alone in the Dark,Sci-Fi
Alone with Her,Crime
Alone with Her,Drama
Alone with Her,Thriller
Along Came Polly,Comedy
Along Came Polly,Romance
Along Came a Spider,Crime
Along Came a Spider,Drama
Along Came a Spider,Thriller
Along the Roadside,Comedy
Along the Roadside,Music
Along the Roadside,Romance
Alpha and Omega,Adventure
Alpha and Omega,Animation
Alpha and Omega,Comedy
Alpha and Omega,Family
Alpha and Omega,Romance
Alpha and Omega 4: The Legend of the Saw Toothed Cave,Action
Alpha and Omega 4: The Legend of the Saw Toothed Cave,Adventure
Alpha and Omega 4: The Legend of the Saw Toothed Cave,Animation
Alpha and Omega 4: The Legend of the Saw Toothed Cave,Comedy
Alpha and Omega 4: The Legend of the Saw Toothed Cave,Drama
Alpha and Omega 4: The Legend of the Saw Toothed Cave,Family
Alpha and Omega 4: The Legend of the Saw Toothed Cave,Fantasy
Alpha and Omega 4: The Legend of the Saw Toothed Cave,Thriller
Alvin and the Chipmunks,Animation
Alvin and the Chipmunks,Comedy
Alvin and the Chipmunks,Family
Alvin and the Chipmunks,Fantasy
Alvin and the Chipmunks,Music
Alvin and the Chipmunks: Chipwrecked,Adventure
Alvin and the Chipmunks: Chipwrecked,Animation
Alvin and the Chipmunks: Chipwrecked,Comedy
Alvin and the Chipmunks: Chipwrecked,Family
Alvin and the Chipmunks: Chipwrecked,Fantasy
Alvin and the Chipmunks: Chipwrecked,Music
Alvin and the Chipmunks: The Road Chip,Adventure
Alvin and the Chipmunks: The Road Chip,Animation
Alvin and the Chipmunks: The Road Chip,Comedy
Alvin and the Chipmunks: The Road Chip,Family
Alvin and the Chipmunks: The Road Chip,Fantasy
Alvin and the Chipmunks: The Road Chip,Music
Alvin and the Chipmunks: The Squeakquel,Animation
Alvin and the Chipmunks: The Squeakquel,Comedy
Alvin and the Chipmunks: The Squeakquel,Family
Alvin and the Chipmunks: The Squeakquel,Fantasy
Alvin and the Chipmunks: The Squeakquel,Music
Always Woodstock,Comedy
Always Woodstock,Music
Always Woodstock,Romance
Amadeus,Biography
Amadeus,Drama
Amadeus,History
Amadeus,Music
Amen.,Biography
Amen.,Crime
Amen.,Drama
Amen.,War
America Is Still the Place,History
America's Sweethearts,Comedy
America's Sweethearts,Romance
American Beauty,Drama
American Desi,Comedy
American Desi,Drama
American Desi,Romance
American Dreamz,Comedy
American Dreamz,Music
American Gangster,Biography
American Gangster,Crime
American Gangster,Drama
American Graffiti,Comedy
American Graffiti,Drama
American Graffiti,Music
American Heist,Action
American Heist,Crime
American Heist,Drama
American Heist,Thriller
American Hero,Action
American Hero,Comedy
American Hero,Drama
American Hero,Sci-Fi
American History X,Crime
American History X,Drama
American Hustle,Crime
American Hustle,Drama
American Ninja 2: The Confrontation,Action
American Ninja 2: The Confrontation,Drama
American Outlaws,Action
American Outlaws,Western
American Pie,Comedy
American Pie 2,Comedy
American Psycho,Crime
American Psycho,Drama
American Reunion,Comedy
American Sniper,Action
American Sniper,Biography
American Sniper,Drama
American Sniper,History
American Sniper,Thriller
American Sniper,War
American Splendor,Biography
American Splendor,Comedy
American Splendor,Drama
American Wedding,Comedy
American Wedding,Romance
Amidst the Devil's Wings,Action
Amidst the Devil's Wings,Crime
Amidst the Devil's Wings,Drama
Amigo,Drama
Amigo,War
Amistad,Drama
Amistad,History
Amnesiac,Drama
Amnesiac,Horror
Amnesiac,Mystery
Amnesiac,Thriller
Among Giants,Comedy
Among Giants,Romance
Amores Perros,Drama
Amores Perros,Thriller
Amour,Drama
Amour,Romance
Amélie,Comedy
Amélie,Romance
An Alan Smithee Film: Burn Hollywood Burn,Comedy
An American Carol,Comedy
An American Carol,Fantasy
An American Girl Holiday,Drama
An American Girl Holiday,Family
An American Haunting,Horror
An American Haunting,Mystery
An American Haunting,Thriller
An American in Hollywood,Drama
An Education,Drama
An Everlasting Piece,Comedy
An Ideal Husband,Comedy
An Ideal Husband,Romance
An Inconvenient Truth,Documentary
An Unfinished Life,Drama
Anaconda,Action
Anaconda,Adventure
Anaconda,Horror
Anaconda,Thriller
Anacondas: The Hunt for the Blood Orchid,Action
Anacondas: The Hunt for the Blood Orchid,Adventure
Anacondas: The Hunt for the Blood Orchid,Horror
Anacondas: The Hunt for the Blood Orchid,Thriller
Analyze That,Comedy
Analyze That,Crime
Analyze This,Comedy
Analyze This,Crime
Anastasia,Adventure
Anastasia,Animation
Anastasia,Drama
Anastasia,Family
Anastasia,Fantasy
Anastasia,Musical
Anastasia,Mystery
Anastasia,Romance
Anatomy,Horror
Anatomy,Thriller
Anchorman 2: The Legend Continues,Comedy
Anchorman: The Legend of Ron Burgundy,Comedy
And So It Goes,Comedy
And So It Goes,Drama
And So It Goes,Romance
And Then Came Love,Comedy
And Then Came Love,Romance
Anderson's Cross,Comedy
Anderson's Cross,Drama
Anderson's Cross,Romance
Angel Eyes,Drama
Angel Eyes,Romance
Angela's Ashes,Drama
Angels & Demons,Mystery
Angels & Demons,Thriller
Anger Management,Comedy
Anger Management,Romance
Animal House,Comedy
Animal Kingdom,Crime
Animal Kingdom,Drama
Animal Kingdom: Let's go Ape,Adventure
Animal Kingdom: Let's go Ape,Animation
Animal Kingdom: Let's go Ape,Comedy
Animal Kingdom: Let's go Ape,Family
Animals,Drama
Animals United,Animation
Animals United,Comedy
Animals United,Family
Anna Karenina,Drama
Anna Karenina,Romance
Anna and the King,Drama
Anna and the King,History
Anna and the King,Romance
Annabelle,Horror
Annabelle,Mystery
Anne of Green Gables,Drama
Anne of Green Gables,Family
Annie,Comedy
Annie,Drama
Annie,Family
Annie,Musical
Annie Get Your Gun,Biography
Annie Get Your Gun,Comedy
Annie Get Your Gun,Musical
Annie Get Your Gun,Romance
Annie Get Your Gun,Western
Annie Hall,Comedy
Annie Hall,Romance
Anomalisa,Animation
Anomalisa,Comedy
Anomalisa,Drama
Anomalisa,Romance
Anonymous,Drama
Anonymous,History
Anonymous,Thriller
Another Earth,Drama
Another Earth,Romance
Another Earth,Sci-Fi
Another Happy Day,Comedy
Another Happy Day,Drama
Another Year,Comedy
Another Year,Drama
Ant-Man,Action
Ant-Man,Adventure
Ant-Man,Comedy
Ant-Man,Sci-Fi
Antarctic Edge: 70° South,Adventure
Antarctic Edge: 70° South,Documentary
Antarctica: A Year on Ice,Adventure
Antarctica: A Year on Ice,Biography
Antarctica: A Year on Ice,Documentary
Antarctica: A Year on Ice,Drama
Antibirth,Horror
Antitrust,Action
Antitrust,Crime
Antitrust,Drama
Antitrust,Thriller
Antiviral,Horror
Antiviral,Sci-Fi
Antiviral,Thriller
Antwone Fisher,Biography
Antwone Fisher,Drama
Antz,Adventure
Antz,Animation
Antz,Comedy
Antz,Family
Any Given Sunday,Drama
Any Given Sunday,Sport
Anything Else,Comedy
Anything Else,Romance
Anywhere But Here,Comedy
Anywhere But Here,Drama
Apocalypse Now,Drama
Apocalypse Now,War
Apocalypto,Action
Apocalypto,Adventure
Apocalypto,Drama
Apocalypto,Thriller
Apollo 13,Adventure
Apollo 13,Drama
Apollo 13,History
Apollo 18,Horror
Apollo 18,Mystery
Apollo 18,Sci-Fi
Apollo 18,Thriller
Appaloosa,Crime
Appaloosa,Drama
Appaloosa,Western
April Fool's Day,Horror
April Fool's Day,Mystery
Aqua Teen Hunger Force Colon Movie Film for Theaters,Action
Aqua Teen Hunger Force Colon Movie Film for Theaters,Adventure
