movie_title,content_rating
Celeste & Jesse Forever,R
Cellular,PG-13
Center Stage,PG-13
Central Intelligence,PG-13
Central Station,R
Centurion,R
Chain Letter,R
Chain Reaction,PG-13
Chain of Command,R
Chairman of the Board,PG-13
Changeling,R
Changing Lanes,R
Chappie,R
Character,R
Chariots of Fire,PG
Charlie Bartlett,R
Charlie St. Cloud,PG-13
Charlie Wilson's War,R
Charlie and the Chocolate Factory,PG
Charlie's Angels,PG-13
Charlie's Angels: Full Throttle,PG-13
Charlotte's Web,G
Charly,PG
Chasing Amy,R
Chasing Liberty,PG-13
Chasing Mavericks,PG
Chasing Papi,PG
Cheap Thrills,Not Rated
Cheaper by the Dozen,PG
Cheaper by the Dozen 2,PG
Chernobyl Diaries,R
Chicago,PG-13
Chicago Overcoat,R
Chicken Little,G
Chicken Run,G
Child 44,R
Child's Play,R
Child's Play 2,R
Childless,R
Children of Heaven,PG
Children of Men,R
Chill Factor,R
Chloe,R
Chocolat,PG-13
Choke,R
Christmas Eve,PG
Christmas Mail,TV-PG
Christmas with the Kranks,PG
Chronicle,PG-13
Chuck & Buck,R
Chéri,R
"Cinco de Mayo, La Batalla",R
Cinderella,PG
Cinderella Man,PG-13
Circle,Not Rated
Circumstance,R
Cirque du Freak: The Vampire's Assistant,PG-13
Cirque du Soleil: Worlds Away,PG
City Hall,R
City Island,PG-13
City by the Sea,R
City of Angels,PG-13
City of Ember,PG
City of Ghosts,R
City of God,R
City of Life and Death,R
Civil Brand,R
Clash of the Titans,PG-13
Class of 1984,R
Clay Pigeons,R
Clean,R
Clear and Present Danger,PG-13
Cleopatra,Approved
Clerks,R
Clerks II,R
Click,PG-13
Cliffhanger,R
Clockstoppers,PG
Clockwatchers,PG-13
Close Encounters of the Third Kind,PG
Closer,R
Closer to the Moon,Not Rated
Closure,R
Cloud Atlas,R
Cloudy with a Chance of Meatballs,PG
Cloudy with a Chance of Meatballs 2,PG
Cloverfield,PG-13
Club Dread,R
Clueless,PG-13
Coach Carter,PG-13
Coal Miner's Daughter,PG
Coco Before Chanel,PG-13
Code 46,R
Code Name: The Cleaner,PG-13
Code of Honor,R
Cold Mountain,R
Collateral,R
Collateral Damage,R
College,R
Colombiana,PG-13
Come Early Morning,R
Coming Home,PG-13
Commando,R
Compadres,R
Compliance,R
Con Air,R
Conan the Barbarian,R
Conan the Destroyer,PG
Concussion,PG-13
Confessions of a Dangerous Mind,R
Confessions of a Teenage Drama Queen,PG
Confidence,R
Congo,PG-13
Connie and Carla,PG-13
Conquest of the Planet of the Apes,PG
Conspiracy Theory,R
Constantine,TV-14
Contact,PG
Contagion,PG-13
Contraband,R
Control,R
Conversations with Other Women,R
Cool Runnings,PG
Cop Land,R
Cop Out,R
Copycat,R
Copying Beethoven,PG-13
Coraline,PG
Coriolanus,R
Corky Romano,PG-13
Corpse Bride,PG
Cotton Comes to Harlem,R
Country Strong,PG-13
Couples Retreat,PG-13
Courage,PG
Courage Under Fire,R
Courageous,PG-13
Coyote Ugly,PG-13
Cradle 2 the Grave,R
Cradle Will Rock,R
Crank,R
Crank: High Voltage,R
Crash,R
Crazy Heart,R
Crazy in Alabama,PG-13
"Crazy, Stupid, Love.",PG-13
Crazy/Beautiful,PG-13
Creative Control,R
Creed,PG-13
Creepshow,R
Creepshow 2,R
Cries & Whispers,R
Criminal,R
Crimson Tide,R
Critical Care,R
Crocodile Dundee,PG-13
Crocodile Dundee II,PG
Crocodile Dundee in Los Angeles,PG
Crooklyn,PG-13
Crossover,PG-13
Crossroads,PG-13
"Crouching Tiger, Hidden Dragon",PG-13
Crowsnest,R
Cruel Intentions,R
Cry Freedom,PG
Cry_Wolf,PG-13
Cube,R
Curious George,G
Curse of the Golden Flower,R
Cursed,PG-13
Cutthroat Island,PG-13
Cypher,R
Cyrus,R
D.E.B.S.,PG-13
DOA: Dead or Alive,PG-13
Daddy Day Camp,PG
Daddy Day Care,PG
Daddy's Home,PG-13
Dallas Buyers Club,R
Damnation Alley,PG
Damsels in Distress,PG-13
Dance Flick,PG-13
Dancer in the Dark,R
"Dancer, Texas Pop. 81",PG
Dances with Wolves,PG-13
Dancin' It's On,PG
Dangerous Liaisons,R
Danny Collins,R
Dante's Peak,PG-13
Daredevil,TV-MA
Dark Angel,TV-14
Dark Blue,R
Dark City,R
Dark Shadows,PG-13
Dark Water,PG-13
Darkness,PG-13
Darkness Falls,PG-13
Darling Companion,PG-13
Darling Lili,G
Das Boot,R
Date Movie,PG-13
Date Night,PG-13
Dave Chappelle's Block Party,R
Dawn of the Dead,R
Dawn of the Planet of the Apes,PG-13
Day One,PG-13
Day of the Dead,Unrated
Daybreakers,R
Daylight,PG-13
Days of Heaven,PG
Days of Thunder,PG-13
Dazed and Confused,R
De-Lovely,PG-13
Dead Like Me: Life After Death,R
Dead Man Down,R
Dead Man Walking,R
Dead Man on Campus,R
Dead Poets Society,PG
Dead Snow,Not Rated
Deadfall,R
Deadpool,R
Dear Frankie,PG-13
Dear John,PG-13
Dear Wendy,Unrated
Death Becomes Her,PG-13
Death Calls,R
Death Race,R
Death Race 2000,R
Death Sentence,R
Death at a Funeral,R
Death to Smoochy,R
Deck the Halls,PG
Deconstructing Harry,R
Decoys,R
Deep Blue Sea,R
Deep Impact,PG-13
Deep Rising,R
Def-Con 4,R
Defendor,R
Defiance,TV-MA
"Definitely, Maybe",PG-13
Dekalog,TV-MA
Delgo,PG
Deliver Us from Evil,R
Delivery Man,PG-13
Demonic,R
Derailed,R
Desert Blue,R
Desert Dancer,PG-13
Desperado,R
Despicable Me,PG
Despicable Me 2,PG
Detention,R
Detention of the Dead,Not Rated
Deterrence,R
Detroit Rock City,R
Deuce Bigalow: European Gigolo,R
Deuce Bigalow: Male Gigolo,R
Deuces Wild,R
Devil,PG-13
Devil's Due,R
Diamond Ruff,R
Diamonds Are Forever,GP
Diary of a Mad Black Woman,PG-13
Diary of a Wimpy Kid,PG
Diary of a Wimpy Kid: Dog Days,PG
Diary of a Wimpy Kid: Rodrick Rules,PG
Diary of the Dead,R
Dick,PG-13
Dick Tracy,PG
Dickie Roberts: Former Child Star,PG-13
Did You Hear About the Morgans?,PG-13
Die Another Day,PG-13
Die Hard,R
Die Hard 2,R
Die Hard with a Vengeance,R
Digimon: The Movie,PG
Diner,R
Dinner Rush,R
Dinner for Schmucks,PG-13
Dinosaur,PG
Dirty Grandpa,R
Dirty Pretty Things,R
Dirty Work,PG-13
Disaster Movie,PG-13
Disclosure,R
District 9,R
District B13,R
Disturbia,PG-13
Disturbing Behavior,R
Divergent,PG-13
Divine Secrets of the Ya-Ya Sisterhood,PG-13
Django Unchained,R
Do You Believe?,PG-13
Do the Right Thing,R
Doc Holliday's Revenge,PG-13
Doctor Dolittle,PG-13
Doctor Zhivago,PG-13
Dodgeball: A True Underdog Story,PG-13
Dogma,R
Dogtooth,Unrated
Dogtown and Z-Boys,PG-13
Dolphin Tale,PG
Dolphin Tale 2,PG
Dom Hemingway,R
Domestic Disturbance,PG-13
Domino,R
Don Jon,R
Don Juan DeMarco,PG-13
Don McKay,R
Don't Be Afraid of the Dark,R
Don't Say a Word,R
Donkey Punch,R
Donnie Brasco,R
Donnie Darko,R
Donovan's Reef,Not Rated
Doogal,G
Doom,R
Doomsday,R
Dope,R
Double Impact,R
Double Jeopardy,R
Double Take,PG-13
Doubt,PG-13
Doug's 1st Movie,G
Down Terrace,R
Down and Out with the Dolls,R
Down for Life,R
Down in the Valley,R
Down to Earth,PG-13
Down to You,PG-13
Downfall,R
Dr. Dolittle 2,PG
Dr. No,Approved
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,PG
Dracula 2000,R
Dracula Untold,PG-13
Draft Day,R
Drag Me to Hell,PG-13
Dragon Blade,R
Dragon Hunters,PG
Dragon Wars: D-War,PG-13
DragonHeart,PG-13
Dragonball: Evolution,PG
