movie_title,plot_keyword
Adaptation.,orchid
Adaptation.,screenwriter
Addicted,obsession
Addicted,adultery
Addicted,temptation
Addicted,attraction
Addicted,lust
Admission,female protagonist
Admission,adoption
Admission,princeton university
Admission,working women
Admission,wedding
Adore,friendship
Adore,neighbor
Adore,happiness
Adore,beach
Adore,friend
Adulterers,male nudity
Adulterers,revenge
Adulterers,male rear nudity
Adulterers,cheating husband
Adulterers,female nudity
Adventureland,summer job
Adventureland,strong female character
Adventureland,amusement park
Adventureland,teenager
Adventureland,teen movie
After,crash
After,coma
After Earth,race against time
After Earth,real life father and son playing father and son
After Earth,fear
After Earth,father son team
After Earth,box office flop
After the Sunset,diamond
After the Sunset,fbi agent
After the Sunset,thief
After the Sunset,fbi
After the Sunset,island
After.Life,engagement ring
After.Life,breath on mirror
After.Life,looking at one's self in a mirror
After.Life,serial killer
After.Life,buried alive
Against the Ropes,boxer
Against the Ropes,boxing manager
Against the Ropes,boxing arena
Against the Ropes,boxing
Against the Ropes,directed by co star
Against the Wild,salmon
Against the Wild,cave
Agent Cody Banks,nanobot
Agent Cody Banks,prep school
Agent Cody Banks,cia
Agent Cody Banks,teenager
Agent Cody Banks,scientist
Agent Cody Banks 2: Destination London,evil scientist
Agent Cody Banks 2: Destination London,gadget
Agent Cody Banks 2: Destination London,chase
Agent Cody Banks 2: Destination London,tough girl
Agent Cody Banks 2: Destination London,mind control
Agora,christian
Agora,love
Agora,slave
Agora,philosophy
Agora,prefect
Aimee & Jaguar,lesbian romance
Aimee & Jaguar,lesbian parent
Aimee & Jaguar,lesbian relationship
Aimee & Jaguar,lesbian mother
Aimee & Jaguar,lesbianism
Air Bud,golden retriever
Air Bud,basketball
Air Bud,dog
Air Bud,dog movie
Air Bud,boy
Air Force One,president
Air Force One,ex soldier
Air Force One,hijacker
Air Force One,hostage
Air Force One,terrorist
Airborne,zoologist
Airborne,jock strap
Airborne,high school
Airborne,cincinnati ohio
Airborne,hockey
Airlift,evacuation
Airlift,1990s
Airlift,historical fiction
Airlift,kuwait
Airlift,businessman
Airplane!,pilot
Airplane!,air traffic controller
Airplane!,airport
Airplane!,airplane
Airplane!,spoof
Ajami,palestinian
Ajami,arab
Ajami,israeli
Ajami,christian
Ajami,violence
Akeelah and the Bee,spelling bee
Akeelah and the Bee,principal
Akeelah and the Bee,school principal
Akeelah and the Bee,national spelling bee
Akeelah and the Bee,spelling
Akira,post thermonuclear war
Akira,gifted child
Akira,science runs amok
Akira,based on manga
Akira,biker gang
Aladdin,magic
Aladdin,reference to a thousand and one nights
Aladdin,princess
Aladdin,arab
Aladdin,genie
Albert Nobbs,painter
Albert Nobbs,19th century
Albert Nobbs,hotel
Albert Nobbs,waiter
Albert Nobbs,woman pretending to be a man
Albino Alligator,bar
Albino Alligator,new orleans louisiana
